,index,qtype,story,perceivers,story_with_perceivers
551,558,first_order_1_no_tom,"['Aiden entered the laundry', 'Aria entered the laundry', 'Nathan entered the laundry', 'The turnip is in the drawer', 'The drawer is in the laundry', 'Aiden moved the turnip to the bottle', 'The bottle is in the laundry', 'Nathan exited the laundry', 'Nathan hates the strawberry']","[['Aiden'], ['Aria', 'Aiden'], ['Nathan', 'Aiden', 'Aria'], ['Aiden', 'Aria', 'Nathan'], ['Aiden', 'Aria', 'Nathan'], ['Aiden', 'Aria', 'Nathan'], ['Aiden', 'Aria', 'Nathan'], ['Nathan', 'Aiden', 'Aria'], ['Nathan']]","[{'Aiden entered the laundry': ['Aiden']}, {'Aria entered the laundry': ['Aria', 'Aiden']}, {'Nathan entered the laundry': ['Nathan', 'Aiden', 'Aria']}, {'The turnip is in the drawer': ['Aiden', 'Aria', 'Nathan']}, {'The drawer is in the laundry': ['Aiden', 'Aria', 'Nathan']}, {'Aiden moved the turnip to the bottle': ['Aiden', 'Aria', 'Nathan']}, {'The bottle is in the laundry': ['Aiden', 'Aria', 'Nathan']}, {'Nathan exited the laundry': ['Nathan', 'Aiden', 'Aria']}, {'Nathan hates the strawberry': ['Nathan']}]"
552,559,first_order_1_tom,"['Hannah hates the shirt', 'Liam entered the staircase', 'Olivia entered the staircase', 'The pineapple is in the treasure chest', 'The treasure chest is in the staircase', 'Olivia exited the staircase', 'Liam moved the pineapple to the pantry', 'The pantry is in the staircase']","[['Hannah'], ['Liam'], ['Olivia', 'Liam'], ['Liam', 'Olivia'], ['Liam', 'Olivia'], ['Olivia', 'Liam'], ['Liam'], ['Liam']]","[{'Hannah hates the shirt': ['Hannah']}, {'Liam entered the staircase': ['Liam']}, {'Olivia entered the staircase': ['Olivia', 'Liam']}, {'The pineapple is in the treasure chest': ['Liam', 'Olivia']}, {'The treasure chest is in the staircase': ['Liam', 'Olivia']}, {'Olivia exited the staircase': ['Olivia', 'Liam']}, {'Liam moved the pineapple to the pantry': ['Liam']}, {'The pantry is in the staircase': ['Liam']}]"
553,560,first_order_0_no_tom,"['Liam entered the study', 'Elizabeth loves the cherry', 'Olivia entered the study', 'The lettuce is in the box', 'The box is in the study', 'Olivia moved the lettuce to the bottle', 'The bottle is in the study', 'Elizabeth hates the pajamas', 'Liam exited the study', 'Olivia exited the study', 'Liam entered the study']","[['Liam'], ['Elizabeth'], ['Olivia', 'Liam'], ['Liam', 'Olivia'], ['Liam', 'Olivia'], ['Olivia', 'Liam'], ['Liam', 'Olivia'], ['Elizabeth'], ['Liam', 'Olivia'], ['Olivia'], ['Liam']]","[{'Liam entered the study': ['Liam']}, {'Elizabeth loves the cherry': ['Elizabeth']}, {'Olivia entered the study': ['Olivia', 'Liam']}, {'The lettuce is in the box': ['Liam', 'Olivia']}, {'The box is in the study': ['Liam', 'Olivia']}, {'Olivia moved the lettuce to the bottle': ['Olivia', 'Liam']}, {'The bottle is in the study': ['Liam', 'Olivia']}, {'Elizabeth hates the pajamas': ['Elizabeth']}, {'Liam exited the study': ['Liam', 'Olivia']}, {'Olivia exited the study': ['Olivia']}, {'Liam entered the study': ['Liam']}]"
554,561,second_order_0_no_tom,"['Chloe entered the lounge', 'Amelia entered the lounge', 'Chloe loves the strawberry', 'The orange is in the bathtub', 'The bathtub is in the lounge', 'Abigail entered the garage', 'Abigail exited the garage', 'Amelia moved the orange to the crate', 'The crate is in the lounge', 'Chloe exited the lounge', 'Amelia exited the lounge', 'Chloe entered the lounge']","[['Chloe'], ['Amelia', 'Chloe'], ['Chloe'], ['Chloe', 'Amelia'], ['Chloe', 'Amelia'], ['Abigail'], ['Abigail'], ['Amelia', 'Chloe'], ['Chloe', 'Amelia'], ['Chloe', 'Amelia'], ['Amelia'], ['Chloe']]","[{'Chloe entered the lounge': ['Chloe']}, {'Amelia entered the lounge': ['Amelia', 'Chloe']}, {'Chloe loves the strawberry': ['Chloe']}, {'The orange is in the bathtub': ['Chloe', 'Amelia']}, {'The bathtub is in the lounge': ['Chloe', 'Amelia']}, {'Abigail entered the garage': ['Abigail']}, {'Abigail exited the garage': ['Abigail']}, {'Amelia moved the orange to the crate': ['Amelia', 'Chloe']}, {'The crate is in the lounge': ['Chloe', 'Amelia']}, {'Chloe exited the lounge': ['Chloe', 'Amelia']}, {'Amelia exited the lounge': ['Amelia']}, {'Chloe entered the lounge': ['Chloe']}]"
556,563,first_order_0_no_tom,"['Nathan entered the office', 'Sophia entered the office', 'The slippers is in the basket', 'The basket is in the office', 'Avery loves the melon', 'Avery entered the office', 'Nathan moved the slippers to the treasure chest', 'The treasure chest is in the office', 'Sophia exited the office', 'Nathan likes the carrot', 'Nathan exited the office', 'Sophia entered the closet']","[['Nathan'], ['Sophia', 'Nathan'], ['Nathan', 'Sophia'], ['Nathan', 'Sophia'], ['Avery'], ['Avery', 'Nathan', 'Sophia'], ['Nathan', 'Sophia', 'Avery'], ['Nathan', 'Sophia', 'Avery'], ['Sophia', 'Nathan', 'Avery'], ['Nathan'], ['Nathan', 'Avery'], ['Sophia']]","[{'Nathan entered the office': ['Nathan']}, {'Sophia entered the office': ['Sophia', 'Nathan']}, {'The slippers is in the basket': ['Nathan', 'Sophia']}, {'The basket is in the office': ['Nathan', 'Sophia']}, {'Avery loves the melon': ['Avery']}, {'Avery entered the office': ['Avery', 'Nathan', 'Sophia']}, {'Nathan moved the slippers to the treasure chest': ['Nathan', 'Sophia', 'Avery']}, {'The treasure chest is in the office': ['Nathan', 'Sophia', 'Avery']}, {'Sophia exited the office': ['Sophia', 'Nathan', 'Avery']}, {'Nathan likes the carrot': ['Nathan']}, {'Nathan exited the office': ['Nathan', 'Avery']}, {'Sophia entered the closet': ['Sophia']}]"
557,564,second_order_0_no_tom,"['Hannah entered the lounge', 'Liam entered the lounge', 'The skirt is in the basket', 'The basket is in the lounge', 'Hannah moved the skirt to the container', 'The container is in the lounge', 'Liam exited the lounge', 'Hannah exited the lounge', 'Abigail entered the office', 'Liam entered the lounge']","[['Hannah'], ['Liam', 'Hannah'], ['Hannah', 'Liam'], ['Hannah', 'Liam'], ['Hannah', 'Liam'], ['Hannah', 'Liam'], ['Liam', 'Hannah'], ['Hannah'], ['Abigail'], ['Liam']]","[{'Hannah entered the lounge': ['Hannah']}, {'Liam entered the lounge': ['Liam', 'Hannah']}, {'The skirt is in the basket': ['Hannah', 'Liam']}, {'The basket is in the lounge': ['Hannah', 'Liam']}, {'Hannah moved the skirt to the container': ['Hannah', 'Liam']}, {'The container is in the lounge': ['Hannah', 'Liam']}, {'Liam exited the lounge': ['Liam', 'Hannah']}, {'Hannah exited the lounge': ['Hannah']}, {'Abigail entered the office': ['Abigail']}, {'Liam entered the lounge': ['Liam']}]"
558,565,second_order_1_tom,"['Alexander hates the pants', 'Alexander entered the basement', 'James entered the basement', 'The trousers is in the cupboard', 'The cupboard is in the basement', 'Alexander exited the basement', 'James moved the trousers to the drawer', 'The drawer is in the basement', 'James exited the basement', 'Noah entered the basement', 'Alexander entered the basement']","[['Alexander'], ['Alexander'], ['James', 'Alexander'], ['Alexander', 'James'], ['Alexander', 'James'], ['Alexander', 'James'], ['James'], ['James'], ['James'], ['Noah'], ['Alexander', 'Noah']]","[{'Alexander hates the pants': ['Alexander']}, {'Alexander entered the basement': ['Alexander']}, {'James entered the basement': ['James', 'Alexander']}, {'The trousers is in the cupboard': ['Alexander', 'James']}, {'The cupboard is in the basement': ['Alexander', 'James']}, {'Alexander exited the basement': ['Alexander', 'James']}, {'James moved the trousers to the drawer': ['James']}, {'The drawer is in the basement': ['James']}, {'James exited the basement': ['James']}, {'Noah entered the basement': ['Noah']}, {'Alexander entered the basement': ['Alexander', 'Noah']}]"
559,566,first_order_1_no_tom,"['Carter entered the lounge', 'Mia entered the lounge', 'The banana is in the pantry', 'The pantry is in the lounge', 'Owen hates the pajamas', 'Mia moved the banana to the crate', 'The crate is in the lounge', 'Carter exited the lounge']","[['Carter'], ['Mia', 'Carter'], ['Carter', 'Mia'], ['Carter', 'Mia'], ['Owen'], ['Mia', 'Carter'], ['Carter', 'Mia'], ['Carter', 'Mia']]","[{'Carter entered the lounge': ['Carter']}, {'Mia entered the lounge': ['Mia', 'Carter']}, {'The banana is in the pantry': ['Carter', 'Mia']}, {'The pantry is in the lounge': ['Carter', 'Mia']}, {'Owen hates the pajamas': ['Owen']}, {'Mia moved the banana to the crate': ['Mia', 'Carter']}, {'The crate is in the lounge': ['Carter', 'Mia']}, {'Carter exited the lounge': ['Carter', 'Mia']}]"
562,569,first_order_1_no_tom,"['Ava entered the closet', 'Mason entered the closet', 'Aria entered the office', 'The green pepper is in the bucket', 'The bucket is in the closet', 'Ava moved the green pepper to the basket', 'The basket is in the closet', 'Mason exited the closet', 'Mason likes the peach', 'Ava exited the closet', 'Mason entered the closet']","[['Ava'], ['Mason', 'Ava'], ['Aria'], ['Ava', 'Mason'], ['Ava', 'Mason'], ['Ava', 'Mason'], ['Ava', 'Mason'], ['Mason', 'Ava'], ['Mason'], ['Ava'], ['Mason']]","[{'Ava entered the closet': ['Ava']}, {'Mason entered the closet': ['Mason', 'Ava']}, {'Aria entered the office': ['Aria']}, {'The green pepper is in the bucket': ['Ava', 'Mason']}, {'The bucket is in the closet': ['Ava', 'Mason']}, {'Ava moved the green pepper to the basket': ['Ava', 'Mason']}, {'The basket is in the closet': ['Ava', 'Mason']}, {'Mason exited the closet': ['Mason', 'Ava']}, {'Mason likes the peach': ['Mason']}, {'Ava exited the closet': ['Ava']}, {'Mason entered the closet': ['Mason']}]"
563,570,first_order_1_no_tom,"['Jackson likes the belt', 'Jackson entered the bathroom', 'Emma dislikes the sweatshirt', 'Emma entered the garden', 'James entered the garden', 'The cucumber is in the bottle', 'The bottle is in the garden', 'James moved the cucumber to the crate', 'The crate is in the garden', 'Emma exited the garden', 'James exited the garden', 'Jackson exited the bathroom', 'Emma entered the bathroom']","[['Jackson'], ['Jackson'], ['Emma'], ['Emma'], ['James', 'Emma'], ['Emma', 'James'], ['Emma', 'James'], ['James', 'Emma'], ['Emma', 'James'], ['Emma', 'James'], ['James'], ['Jackson'], ['Emma']]","[{'Jackson likes the belt': ['Jackson']}, {'Jackson entered the bathroom': ['Jackson']}, {'Emma dislikes the sweatshirt': ['Emma']}, {'Emma entered the garden': ['Emma']}, {'James entered the garden': ['James', 'Emma']}, {'The cucumber is in the bottle': ['Emma', 'James']}, {'The bottle is in the garden': ['Emma', 'James']}, {'James moved the cucumber to the crate': ['James', 'Emma']}, {'The crate is in the garden': ['Emma', 'James']}, {'Emma exited the garden': ['Emma', 'James']}, {'James exited the garden': ['James']}, {'Jackson exited the bathroom': ['Jackson']}, {'Emma entered the bathroom': ['Emma']}]"
564,571,second_order_0_no_tom,"['Mia entered the garage', 'Benjamin entered the garage', 'The melon is in the envelope', 'The envelope is in the garage', 'Benjamin moved the melon to the box', 'The box is in the garage', 'Hannah entered the kitchen', 'Benjamin likes the gloves', 'Mia exited the garage', 'Benjamin exited the garage', 'Mia entered the garage']","[['Mia'], ['Benjamin', 'Mia'], ['Mia', 'Benjamin'], ['Mia', 'Benjamin'], ['Benjamin', 'Mia'], ['Mia', 'Benjamin'], ['Hannah'], ['Benjamin'], ['Mia', 'Benjamin'], ['Benjamin'], ['Mia']]","[{'Mia entered the garage': ['Mia']}, {'Benjamin entered the garage': ['Benjamin', 'Mia']}, {'The melon is in the envelope': ['Mia', 'Benjamin']}, {'The envelope is in the garage': ['Mia', 'Benjamin']}, {'Benjamin moved the melon to the box': ['Benjamin', 'Mia']}, {'The box is in the garage': ['Mia', 'Benjamin']}, {'Hannah entered the kitchen': ['Hannah']}, {'Benjamin likes the gloves': ['Benjamin']}, {'Mia exited the garage': ['Mia', 'Benjamin']}, {'Benjamin exited the garage': ['Benjamin']}, {'Mia entered the garage': ['Mia']}]"
565,572,second_order_0_no_tom,"['Owen entered the office', 'Lily entered the dining room', 'Aria entered the dining room', 'The trousers is in the bottle', 'The bottle is in the dining room', 'Lily moved the trousers to the treasure chest', 'The treasure chest is in the dining room', 'Aria exited the dining room', 'Lily exited the dining room', 'Owen exited the office', 'Aria entered the dining room']","[['Owen'], ['Lily'], ['Aria', 'Lily'], ['Lily', 'Aria'], ['Lily', 'Aria'], ['Lily', 'Aria'], ['Lily', 'Aria'], ['Aria', 'Lily'], ['Lily'], ['Owen'], ['Aria']]","[{'Owen entered the office': ['Owen']}, {'Lily entered the dining room': ['Lily']}, {'Aria entered the dining room': ['Aria', 'Lily']}, {'The trousers is in the bottle': ['Lily', 'Aria']}, {'The bottle is in the dining room': ['Lily', 'Aria']}, {'Lily moved the trousers to the treasure chest': ['Lily', 'Aria']}, {'The treasure chest is in the dining room': ['Lily', 'Aria']}, {'Aria exited the dining room': ['Aria', 'Lily']}, {'Lily exited the dining room': ['Lily']}, {'Owen exited the office': ['Owen']}, {'Aria entered the dining room': ['Aria']}]"
567,574,second_order_1_tom,"['Abigail entered the playroom', 'Jacob entered the playroom', 'Emma entered the bathroom', 'The tangerine is in the envelope', 'The envelope is in the playroom', 'Emma exited the bathroom', 'Jacob exited the playroom', 'Abigail moved the tangerine to the bucket', 'The bucket is in the playroom']","[['Abigail'], ['Jacob', 'Abigail'], ['Emma'], ['Abigail', 'Jacob'], ['Abigail', 'Jacob'], ['Emma'], ['Jacob', 'Abigail'], ['Abigail'], ['Abigail']]","[{'Abigail entered the playroom': ['Abigail']}, {'Jacob entered the playroom': ['Jacob', 'Abigail']}, {'Emma entered the bathroom': ['Emma']}, {'The tangerine is in the envelope': ['Abigail', 'Jacob']}, {'The envelope is in the playroom': ['Abigail', 'Jacob']}, {'Emma exited the bathroom': ['Emma']}, {'Jacob exited the playroom': ['Jacob', 'Abigail']}, {'Abigail moved the tangerine to the bucket': ['Abigail']}, {'The bucket is in the playroom': ['Abigail']}]"
570,577,second_order_1_no_tom,"['Noah entered the dining room', 'Aria entered the dining room', 'The grapefruit is in the cupboard', 'The cupboard is in the dining room', 'Aria moved the grapefruit to the bottle', 'The bottle is in the dining room', 'Noah exited the dining room', 'Aria exited the dining room', 'Noah entered the cellar']","[['Noah'], ['Aria', 'Noah'], ['Noah', 'Aria'], ['Noah', 'Aria'], ['Aria', 'Noah'], ['Noah', 'Aria'], ['Noah', 'Aria'], ['Aria'], ['Noah']]","[{'Noah entered the dining room': ['Noah']}, {'Aria entered the dining room': ['Aria', 'Noah']}, {'The grapefruit is in the cupboard': ['Noah', 'Aria']}, {'The cupboard is in the dining room': ['Noah', 'Aria']}, {'Aria moved the grapefruit to the bottle': ['Aria', 'Noah']}, {'The bottle is in the dining room': ['Noah', 'Aria']}, {'Noah exited the dining room': ['Noah', 'Aria']}, {'Aria exited the dining room': ['Aria']}, {'Noah entered the cellar': ['Noah']}]"
571,578,first_order_0_no_tom,"['Emily entered the porch', 'Olivia entered the porch', 'Benjamin entered the porch', 'The socks is in the suitcase', 'The suitcase is in the porch', 'Benjamin moved the socks to the container', 'The container is in the porch', 'Emily exited the porch', 'Benjamin exited the porch', 'Olivia exited the porch', 'Emily entered the porch', 'Olivia hates the spinach']","[['Emily'], ['Olivia', 'Emily'], ['Benjamin', 'Emily', 'Olivia'], ['Emily', 'Olivia', 'Benjamin'], ['Emily', 'Olivia', 'Benjamin'], ['Benjamin', 'Emily', 'Olivia'], ['Emily', 'Olivia', 'Benjamin'], ['Emily', 'Olivia', 'Benjamin'], ['Benjamin', 'Olivia'], ['Olivia'], ['Emily'], ['Olivia']]","[{'Emily entered the porch': ['Emily']}, {'Olivia entered the porch': ['Olivia', 'Emily']}, {'Benjamin entered the porch': ['Benjamin', 'Emily', 'Olivia']}, {'The socks is in the suitcase': ['Emily', 'Olivia', 'Benjamin']}, {'The suitcase is in the porch': ['Emily', 'Olivia', 'Benjamin']}, {'Benjamin moved the socks to the container': ['Benjamin', 'Emily', 'Olivia']}, {'The container is in the porch': ['Emily', 'Olivia', 'Benjamin']}, {'Emily exited the porch': ['Emily', 'Olivia', 'Benjamin']}, {'Benjamin exited the porch': ['Benjamin', 'Olivia']}, {'Olivia exited the porch': ['Olivia']}, {'Emily entered the porch': ['Emily']}, {'Olivia hates the spinach': ['Olivia']}]"
572,579,first_order_1_no_tom,"['James entered the office', 'Nathan hates the beans', 'Owen entered the office', 'The shoes is in the bottle', 'The bottle is in the office', 'James moved the shoes to the envelope', 'The envelope is in the office', 'Owen exited the office', 'James exited the office', 'Owen entered the workshop', 'Nathan entered the office']","[['James'], ['Nathan'], ['Owen', 'James'], ['James', 'Owen'], ['James', 'Owen'], ['James', 'Owen'], ['James', 'Owen'], ['Owen', 'James'], ['James'], ['Owen'], ['Nathan']]","[{'James entered the office': ['James']}, {'Nathan hates the beans': ['Nathan']}, {'Owen entered the office': ['Owen', 'James']}, {'The shoes is in the bottle': ['James', 'Owen']}, {'The bottle is in the office': ['James', 'Owen']}, {'James moved the shoes to the envelope': ['James', 'Owen']}, {'The envelope is in the office': ['James', 'Owen']}, {'Owen exited the office': ['Owen', 'James']}, {'James exited the office': ['James']}, {'Owen entered the workshop': ['Owen']}, {'Nathan entered the office': ['Nathan']}]"
574,581,first_order_0_tom,"['Emily entered the patio', 'Noah entered the patio', 'The sweatshirt is in the container', 'The container is in the patio', 'Emily dislikes the boots', 'Hannah entered the patio', 'Emily exited the patio', 'Hannah exited the patio', 'Noah moved the sweatshirt to the envelope', 'The envelope is in the patio']","[['Emily'], ['Noah', 'Emily'], ['Emily', 'Noah'], ['Emily', 'Noah'], ['Emily'], ['Hannah', 'Emily', 'Noah'], ['Emily', 'Noah', 'Hannah'], ['Hannah', 'Noah'], ['Noah'], ['Noah']]","[{'Emily entered the patio': ['Emily']}, {'Noah entered the patio': ['Noah', 'Emily']}, {'The sweatshirt is in the container': ['Emily', 'Noah']}, {'The container is in the patio': ['Emily', 'Noah']}, {'Emily dislikes the boots': ['Emily']}, {'Hannah entered the patio': ['Hannah', 'Emily', 'Noah']}, {'Emily exited the patio': ['Emily', 'Noah', 'Hannah']}, {'Hannah exited the patio': ['Hannah', 'Noah']}, {'Noah moved the sweatshirt to the envelope': ['Noah']}, {'The envelope is in the patio': ['Noah']}]"
